Rank,File Name,Total Score (%),Required Skills (%),Preferred Skills (%),Experience (%),Keyword Match (%),Experience (Years),Matched Skills,Missing Skills
1,REAL_0003_Shannon_Mccarthy.pdf,90.0,0.0,0.0,100.0,0.0,0,,
2,REAL_0004_Christine_Kelley.pdf,90.0,0.0,0.0,100.0,0.0,0,,
3,REAL_0009_Kelly_Mayer.pdf,90.0,0.0,0.0,100.0,0.0,0,,
4,REAL_0010_Leslie_Hall_MD.pdf,90.0,0.0,0.0,100.0,0.0,0,,
5,REAL_0013_Lindsey_Thomas.pdf,90.0,0.0,0.0,100.0,0.0,0,,
6,REAL_0025_Mason_Olson.pdf,90.0,0.0,0.0,100.0,0.0,0,,
7,REAL_0027_Stephen_Simmons.pdf,90.0,0.0,0.0,100.0,0.0,0,,
8,REAL_0028_John_Henderson.pdf,90.0,0.0,0.0,100.0,0.0,0,,
9,REAL_0030_Ashley_Adams.pdf,90.0,0.0,0.0,100.0,0.0,0,,
10,REAL_0031_Laura_Hall.pdf,90.0,0.0,0.0,100.0,0.0,0,,
